STT,userId,itemId,rating,isvisited
1,1,1,,1
2,1,2,3.0,0
3,1,3,1.0,0
4,1,4,,0
5,1,5,1.0,0
6,1,6,,0
7,1,7,,0
8,1,8,5.0,1
9,1,9,3.0,1
10,1,10,,1
11,1,11,2.0,1
12,1,12,,1
13,1,13,5.0,1
14,1,14,3.0,1
15,1,15,,1
16,1,16,3.0,0
17,1,17,,0
18,1,18,2.0,0
19,1,19,,1
20,1,20,2.0,0
21,1,21,4.0,1
22,1,22,4.0,1
23,1,23,,1
24,1,24,2.0,1
25,1,25,4.0,0
26,1,26,,1
27,1,27,5.0,0
28,1,28,,0
29,1,29,4.0,1
30,1,30,,1
31,1,31,3.0,1
32,1,32,,1
33,2,1,,1
34,2,2,4.0,1
35,2,3,,0
36,2,4,4.0,0
37,2,5,1.0,1
38,2,6,,1
39,2,7,1.0,1
40,2,8,4.0,0
41,2,9,,0
42,2,10,4.0,0
43,2,11,2.0,1
44,2,12,3.0,0
45,2,13,5.0,0
46,2,14,,1
47,2,15,5.0,0
48,2,16,,1
49,2,17,5.0,0
50,2,18,,0
51,2,19,4.0,0
52,2,20,2.0,0
53,2,21,,0
54,2,22,5.0,1
55,2,23,5.0,0
56,2,24,,1
57,2,25,,1
58,2,26,5.0,1
59,2,27,5.0,1
60,2,28,,1
61,2,29,3.0,0
62,2,30,,0
63,2,31,4.0,1
64,2,32,3.0,1
65,3,1,4.0,1
66,3,2,5.0,1
67,3,3,,0
68,3,4,5.0,0
69,3,5,,0
70,3,6,4.0,0
71,3,7,,1
72,3,8,3.0,1
73,3,9,1.0,1
74,3,10,3.0,0
75,3,11,,0
76,3,12,2.0,1
77,3,13,,0
78,3,14,3.0,1
79,3,15,,0
80,3,16,5.0,1
81,3,17,5.0,1
82,3,18,3.0,1
83,3,19,,0
84,3,20,3.0,0
85,3,21,,0
86,3,22,,1
87,3,23,5.0,0
88,3,24,3.0,1
89,3,25,,0
90,3,26,4.0,1
91,3,27,,1
92,3,28,4.0,0
93,3,29,4.0,0
94,3,30,,0
95,3,31,2.0,1
96,3,32,,1
97,4,1,4.0,0
98,4,2,,0
99,4,3,4.0,0
100,4,4,,1
101,4,5,,1
102,4,6,5.0,0
103,4,7,4.0,1
104,4,8,3.0,0
105,4,9,,1
106,4,10,,1
107,4,11,,1
108,4,12,5.0,0
109,4,13,,1
110,4,14,4.0,1
111,4,15,3.0,0
112,4,16,,0
113,4,17,5.0,1
114,4,18,,0
115,4,19,4.0,0
116,4,20,,0
117,4,21,4.0,0
118,4,22,3.0,0
119,4,23,,1
120,4,24,4.0,1
121,4,25,4.0,0
122,4,26,,1
123,4,27,4.0,1
124,4,28,5.0,1
125,4,29,,0
126,4,30,2.0,0
127,4,31,5.0,1
128,4,32,,0
129,5,1,3.0,0
130,5,2,3.0,1
131,5,3,,0
132,5,4,3.0,0
133,5,5,4.0,0
134,5,6,,1
135,5,7,,1
136,5,8,3.0,1
137,5,9,5.0,1
138,5,10,5.0,1
139,5,11,,0
140,5,12,4.0,1
141,5,13,1.0,1
142,5,14,4.0,1
143,5,15,,0
144,5,16,2.0,0
145,5,17,,1
146,5,18,4.0,0
147,5,19,2.0,1
148,5,20,5.0,0
149,5,21,,1
150,5,22,,0
151,5,23,4.0,1
152,5,24,3.0,0
153,5,25,3.0,1
154,5,26,,0
155,5,27,3.0,0
156,5,28,4.0,0
157,5,29,4.0,0
158,5,30,,1
159,5,31,4.0,0
160,5,32,4.0,0
161,6,1,,0
162,6,2,,0
163,6,3,5.0,1
164,6,4,3.0,0
165,6,5,,0
166,6,6,2.0,0
167,6,7,3.0,0
168,6,8,,1
169,6,9,4.0,0
170,6,10,4.0,0
171,6,11,,1
172,6,12,4.0,0
173,6,13,3.0,0
174,6,14,,0
175,6,15,4.0,0
176,6,16,,0
177,6,17,,1
178,6,18,5.0,0
179,6,19,4.0,0
180,6,20,3.0,0
181,6,21,1.0,0
182,6,22,,0
183,6,23,3.0,0
184,6,24,2.0,1
185,6,25,,0
186,6,26,4.0,0
187,6,27,3.0,1
188,6,28,,1
189,6,29,4.0,0
190,6,30,5.0,1
191,6,31,,0
192,6,32,5.0,1
193,7,1,3.0,1
194,7,2,,0
195,7,3,4.0,1
196,7,4,,1
197,7,5,3.0,1
198,7,6,3.0,1
199,7,7,2.0,1
200,7,8,,0
201,7,9,3.0,1
202,7,10,4.0,0
203,7,11,,0
204,7,12,4.0,0
205,7,13,3.0,1
206,7,14,4.0,1
207,7,15,,0
208,7,16,3.0,0
209,7,17,,0
210,7,18,,0
211,7,19,5.0,1
212,7,20,,0
213,7,21,3.0,1
214,7,22,,1
215,7,23,4.0,0
216,7,24,4.0,1
217,7,25,3.0,1
218,7,26,,1
219,7,27,,1
220,7,28,2.0,0
221,7,29,5.0,1
222,7,30,,1
223,7,31,4.0,0
224,7,32,4.0,1
225,8,1,,0
226,8,2,3.0,1
227,8,3,,0
228,8,4,1.0,0
229,8,5,4.0,0
230,8,6,5.0,0
231,8,7,,1
232,8,8,5.0,0
233,8,9,3.0,0
234,8,10,,1
235,8,11,1.0,1
236,8,12,4.0,0
237,8,13,,1
238,8,14,2.0,1
239,8,15,2.0,0
240,8,16,,0
241,8,17,,1
242,8,18,4.0,0
243,8,19,,0
244,8,20,5.0,0
245,8,21,1.0,0
246,8,22,,1
247,8,23,2.0,1
248,8,24,4.0,1
249,8,25,,1
250,8,26,,0
251,8,27,4.0,1
252,8,28,5.0,0
253,8,29,,1
254,8,30,3.0,1
255,8,31,3.0,0
256,8,32,,1
257,9,1,,1
258,9,2,3.0,1
259,9,3,3.0,1
260,9,4,3.0,0
261,9,5,,1
262,9,6,5.0,0
263,9,7,5.0,0
264,9,8,,1
265,9,9,2.0,1
266,9,10,4.0,0
267,9,11,5.0,0
268,9,12,4.0,0
269,9,13,,1
270,9,14,2.0,0
271,9,15,4.0,0
272,9,16,1.0,0
273,9,17,,1
274,9,18,5.0,0
275,9,19,,0
276,9,20,4.0,1
277,9,21,2.0,0
278,9,22,4.0,0
279,9,23,,0
280,9,24,,0
281,9,25,4.0,0
282,9,26,1.0,0
283,9,27,1.0,0
284,9,28,,1
285,9,29,3.0,1
286,9,30,,1
287,9,31,4.0,1
288,9,32,,0
